Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
TPRA1	"FLJ32197, GPR175, TMEM227, TPRA40"	ENSG00000163870	"Transmembrane protein adipocyte associated 1"	Q86W33	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"		Vesicles
TPRG1	"FAM79B, FLJ41238, FLJ43694"	ENSG00000188001	"Tumor protein p63 regulated 1"	Q6ZUI0	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	16	Nucleoplasm
TPRG1L	"FAM79A, FLJ21811, h-Mover, RP11-46F15.3, SVAP30, TPRGL"	ENSG00000158109	"Tumor protein p63 regulated 1 like"	Q5T0D9	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		Vesicles
TPRKB	"CGI-121, CGI121"	ENSG00000144034	"TP53RK binding protein"	Q9Y3C4	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"tRNA processing"		"Evidence at protein level"	"Low tissue specificity"	14	Cytosol
TPRN	"C9orf75, DFNB79, FLJ90254"	ENSG00000176058	Taperin	Q4KMQ1	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Hearing	"Actin-binding, Protein phosphatase inhibitor"	"Evidence at protein level"	"Tissue enhanced"	18	"Plasma membrane"
TPSAB1	"TPS1, TPS2, TPSB1"	ENSG00000172236	"Tryptase alpha/beta 1"	Q15661	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Low tissue specificity"		Vesicles
TPSB2		ENSG00000197253	"Tryptase beta 2"	P20231	"Enzymes, Metabolic proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Low tissue specificity"		
TPSD1		ENSG00000095917	"Tryptase delta 1"	Q9BZJ3	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"	"Tissue enhanced"		
TPST1	TANGO13A	ENSG00000169902	"Tyrosylprotein sulfotransferase 1"	O60507	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase	"Evidence at protein level"	"Low tissue specificity"	3	"Golgi apparatus"
TPST2	TANGO13B	ENSG00000128294	"Tyrosylprotein sulfotransferase 2"	O60704	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase	"Evidence at protein level"	"Tissue enhanced"	44	
TPT1	"fortilin, TCTP"	ENSG00000133112	"Tumor protein, translationally-controlled 1"	P13693	"Essential proteins, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	80	Cytosol
TPTEP2-CSNK1E		ENSG00000283900	"TPTEP2-CSNK1E readthrough"		"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		
TPX2	"C20orf1, C20orf2, DIL-2, FLS353, HCA519, p100"	ENSG00000088325	"TPX2 microtubule nucleation factor"	Q9ULW0	"Cancer-related genes, Essential proteins, Predicted intracellular proteins"	"Apoptosis, Cell cycle, Cell division, Mitosis"		"Evidence at protein level"	"Tissue enhanced"	24	Nucleoplasm
TRA2A	"AWMS1, htra-2-alpha"	ENSG00000164548	"Transformer 2 alpha homolog"	Q13595	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	49	Nucleoli
TRA2B	"Htra2-beta, PPP1R156, SFRS10"	ENSG00000136527	"Transformer 2 beta homolog"	P62995	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Activator, Repressor, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	99	Nucleoplasm
TRABD	PP2447	ENSG00000170638	"TraB domain containing"	Q9H4I3	"Plasma proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	17	"Nucleoplasm, Mitochondria"
TRAC		ENSG00000277734	"T cell receptor alpha constant"	P01848	"Disease related genes, Predicted membrane proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at protein level"	"Tissue enriched"		
TRADD	Hs.89862	ENSG00000102871	"TNFRSF1A associated via death domain"	Q15628	"Predicted intracellular proteins"	Apoptosis		"Evidence at protein level"	"Low tissue specificity"	27	Cytosol
TRAF1	EBI6	ENSG00000056558	"TNF receptor associated factor 1"	Q13077	"Cancer-related genes, Predicted intracellular proteins"	Apoptosis		"Evidence at protein level"	"Low tissue specificity"	240	Nucleoplasm
TRAF2	"RNF117, TRAP3"	ENSG00000127191	"TNF receptor associated factor 2"	Q12933	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Apoptosis, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	420	Cytosol
TRAF3	"CAP-1, CD40bp, CRAF1, LAP1, RNF118"	ENSG00000131323	"TNF receptor associated factor 3"	Q13114	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Apoptosis, Host-virus interaction, Immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	120	
TRAF3IP1	"DKFZP434F124, FAP116, IFT54, MIP-T3, MIPT3"	ENSG00000204104	"TRAF3 interacting protein 1"	Q8TDR0	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"		"Evidence at protein level"	"Low tissue specificity"	32	"Nuclear bodies, Primary cilium transition zone"
TRAF3IP2	"ACT1, C6orf2, C6orf4, C6orf5, C6orf6, CIKS, DKFZP586G0522"	ENSG00000056972	"TRAF3 interacting protein 2"	O43734	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Inflammatory response, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	19	"Golgi apparatus"
TRAF3IP3	T3JAM	ENSG00000009790	"TRAF3 interacting protein 3"	Q9Y228	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Tissue enriched"	66	Vesicles
TRAF4	"CART1, MLN62, RNF83"	ENSG00000076604	"TNF receptor associated factor 4"	Q9BUZ4	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters"	"Apoptosis, Immunity, Innate immunity, Ubl conjugation pathway"	"Developmental protein, Transferase"	"Evidence at protein level"	"Low tissue specificity"	119	"Nucleoli fibrillar center"
TRAF5	RNF84	ENSG00000082512	"TNF receptor associated factor 5"	O00463	"Predicted intracellular proteins"	Apoptosis		"Evidence at protein level"	"Low tissue specificity"	64	Cytosol
TRAF6	RNF85	ENSG00000175104	"TNF receptor associated factor 6"	Q9Y4K3	"Enzymes, Predicted intracellular proteins"	"DNA damage, Immunity, Osteogenesis, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	249	Mitochondria
TRAF7	"DKFZp586I021, MGC7807, RFWD1, RNF119"	ENSG00000131653	"TNF receptor associated factor 7"	Q6Q0C0	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Apoptosis, Transcription, Transcription regulation, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	36	Vesicles
TRAFD1	FLN29	ENSG00000135148	"TRAF-type zinc finger domain containing 1"	O14545	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	8	Nucleoplasm
TRAIP	"RNF206, TRIP"	ENSG00000183763	"TRAF interacting protein"	Q9BWF2	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	20	"Plasma membrane, Cytosol"
TRAJ27		ENSG00000211862	"T cell receptor alpha joining 27"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRAJ39		ENSG00000211850	"T cell receptor alpha joining 39"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRAJ44		ENSG00000211845	"T cell receptor alpha joining 44"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Group enriched"		
TRAJ5		ENSG00000211884	"T cell receptor alpha joining 5"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRAJ9		ENSG00000211880	"T cell receptor alpha joining 9"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRAK1	"KIAA1042, MILT1, OIP106"	ENSG00000182606	"Trafficking kinesin protein 1"	Q9UPV9	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	29	"Endoplasmic reticulum"
TRAK2	"ALS2CR3, CALS-C, GRIF-1, KIAA0549, MILT2, OIP98"	ENSG00000115993	"Trafficking kinesin protein 2"	O60296	"Predicted intracellular proteins"	Transport		"Evidence at protein level"	"Tissue enhanced"	25	"Nucleoplasm, Nuclear bodies"
TRAM1	"TRAM, TRAMP"	ENSG00000067167	"Translocation associated membrane protein 1"	Q15629	"Plasma proteins, Predicted membrane proteins, Transporters"	"Host-virus interaction, Protein transport, Translocation, Transport, Unfolded protein response"		"Evidence at protein level"	"Low tissue specificity"	10	
TRAM2	KIAA0057	ENSG00000065308	"Translocation associated membrane protein 2"	Q15035	"Predicted membrane proteins, Transporters"	"Protein transport, Translocation, Transport"		"Evidence at protein level"	"Low tissue specificity"	1	Cytosol
TRAP1	"HSP75, HSP90L"	ENSG00000126602	"TNF receptor associated protein 1"	Q12931	"Plasma proteins, Predicted intracellular proteins"		Chaperone	"Evidence at protein level"	"Low tissue specificity"	52	Mitochondria
TRAPPC1	"BET5, MUM2"	ENSG00000170043	"Trafficking protein particle complex subunit 1"	Q9Y5R8	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	62	
TRAPPC10	"EHOC-1, TMEM1, TRS130"	ENSG00000160218	"Trafficking protein particle complex subunit 10"	P48553	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	29	
TRAPPC11	"C4orf41, FLJ12716, foigr, gry"	ENSG00000168538	"Trafficking protein particle complex subunit 11"	Q7Z392	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	42	Cytosol
TRAPPC12	"CGI-87, TTC-15, TTC15"	ENSG00000171853	"Trafficking protein particle complex subunit 12"	Q8WVT3	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Tissue enhanced"	23	"Nucleoplasm, Golgi apparatus"
TRAPPC13	"C5orf44, FLJ13611, MGC48585"	ENSG00000113597	"Trafficking protein particle complex subunit 13"	A5PLN9	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	11	"Nucleoplasm, Plasma membrane"
TRAPPC14	"C7orf43, FLJ10925, MAP11"	ENSG00000146826	"Trafficking protein particle complex subunit 14"	Q8WVR3	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation"		"Evidence at protein level"	"Low tissue specificity"	13	Vesicles
TRAPPC2	"hYP38334, MIP-2A, SEDL, SEDT, TRS20, ZNF547L"	ENSG00000196459	"Trafficking protein particle complex subunit 2"	P0DI81	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"ER-Golgi transport, Transcription, Transport"		"Evidence at protein level"	"Low tissue specificity"	65	"Endoplasmic reticulum, Vesicles"
TRAPPC2B	"MIP-2A, SEDLP, SEDLP1, TRAPPC2P1"	ENSG00000256060	"Trafficking protein particle complex subunit 2B"	P0DI82	"Predicted intracellular proteins"	"ER-Golgi transport, Transcription, Transport"		"Evidence at protein level"	"Low tissue specificity"	2	"Endoplasmic reticulum, Vesicles"
TRAPPC2L	HSPC176	ENSG00000167515	"Trafficking protein particle complex subunit 2L"	Q9UL33	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	39	"Vesicles, Cytosol"
TRAPPC3	BET3	ENSG00000054116	"Trafficking protein particle complex subunit 3"	O43617	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	41	"Golgi apparatus, Cytosol"
TRAPPC3L	"bA259P20.2, BET3L, FLJ11180"	ENSG00000173626	"Trafficking protein particle complex subunit 3L"	Q5T215	"Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"		"Golgi apparatus, Vesicles"
TRAPPC4	"PTD009, SBDN, TRS23"	ENSG00000196655	"Trafficking protein particle complex subunit 4"	Q9Y296	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	38	Cytosol
TRAPPC5	"MGC52424, TRS31"	ENSG00000181029	"Trafficking protein particle complex subunit 5"	Q8IUR0	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	33	Vesicles
TRAPPC6A	"HSPC289, MGC2650, TRS33"	ENSG00000007255	"Trafficking protein particle complex subunit 6A"	O75865	"Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	9	
TRAPPC6B		ENSG00000182400	"Trafficking protein particle complex subunit 6B"	Q86SZ2	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Neurogenesis		"Evidence at protein level"	"Low tissue specificity"	24	"Endoplasmic reticulum"
TRAPPC8	"GSG1, HsT2706, KIAA1012, TRS85"	ENSG00000153339	"Trafficking protein particle complex subunit 8"	Q9Y2L5	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	23	Cytosol
TRAPPC9	"IKBKBBP, KIAA1882, MRT13, NIBP, T1, TRS120"	ENSG00000167632	"Trafficking protein particle complex subunit 9"	Q96Q05	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Differentiation		"Evidence at protein level"	"Low tissue specificity"	22	"Golgi apparatus, Vesicles"
TRARG1	"BEC-1, DSPB1, IFITMD3, LOST1, TUSC5"	ENSG00000184811	"Trafficking regulator of GLUT4 (SLC2A4) 1"	Q8IXB3	"Predicted membrane proteins"			"Evidence at protein level"	"Group enriched"	1	
TRBC1	"BV05S1J2.2, TCRBC1"	ENSG00000211751	"T cell receptor beta constant 1"	P01850	"Predicted membrane proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at protein level"	"Tissue enriched"		
TRBC2	TCRBC2	ENSG00000211772	"T cell receptor beta constant 2"	A0A5B9	"Predicted membrane proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at protein level"	"Group enriched"		
TRBJ1-1	"TCRBJ1S1, TRBJ11"	ENSG00000282320	"T cell receptor beta joining 1-1"	A0A0J9YXA8	"Predicted intracellular proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at transcript level"	"Tissue enriched"		
TRBJ1-5	"TCRBJ1S5, TRBJ15"	ENSG00000282173	"T cell receptor beta joining 1-5"	A0A0J9YXM7	"Predicted intracellular proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at transcript level"	"Tissue enriched"		
TRBJ2-1	"TCRBJ2S1, TRBJ21"	ENSG00000211764	"T cell receptor beta joining 2-1"	A0A0A0MTA7	"Predicted intracellular proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at transcript level"	"Group enriched"		
TRBJ2-2P	TRBJ22P	ENSG00000211766	"T cell receptor beta joining 2-2P (non-functional)"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRBJ2-3	"TCRBJ2S3, TRBJ23"	ENSG00000211767	"T cell receptor beta joining 2-3"	A0A0B4J200	"Predicted intracellular proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at protein level"	"Tissue enhanced"		
TRBJ2-6	"TCRBJ2S6, TRBJ26"	ENSG00000211770	"T cell receptor beta joining 2-6"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enhanced"		
TRBV25-1	"TCRBV11S1A1T, TCRBV25S1, TRBV251"	ENSG00000282499	"T cell receptor beta variable 25-1"	A0A075B6N4	"Predicted intracellular proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at transcript level"	"Tissue enriched"		
TRDC		ENSG00000211829	"T cell receptor delta constant"	B7Z8K6	"Predicted membrane proteins, T-cell receptor genes"	"Adaptive immunity, Immunity"	Receptor	"Evidence at protein level"	"Tissue enriched"		
TRDJ3		ENSG00000211828	"T cell receptor delta joining 3"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enriched"		
TRDN	TRISK	ENSG00000186439	Triadin	Q13061	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	17	"Plasma membrane, Cytosol"
TRERF1	"BCAR2, dJ139D8.5, HSA277276, RAPA, TReP-132"	ENSG00000124496	"Transcriptional regulating factor 1"	Q96PN7	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	14	Nucleoplasm
TREX1	"AGS1, DRN3"	ENSG00000213689	"Three prime repair exonuclease 1"	Q9NSU2	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"		"Exonuclease, Hydrolase, Nuclease"	"Evidence at protein level"	"Low tissue specificity"	2	Cytosol
TRGJP1	"JP1, TCRGJP1"	ENSG00000211692	"T cell receptor gamma joining P1"		"Predicted intracellular proteins, T-cell receptor genes"			"Evidence at transcript level"	"Tissue enriched"		
TRIAP1	"HSPC132, MDM35, P53CSV, WF-1"	ENSG00000170855	"TP53 regulated inhibitor of apoptosis 1"	O43715	"Essential proteins, Predicted intracellular proteins, Transporters"	"Apoptosis, Lipid transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	14	"Nucleoplasm, Mitochondria"
TRIB1	"C8FW, GIG2, TRB1"	ENSG00000173334	"Tribbles pseudokinase 1"	Q96RU8	"Enzymes, Predicted intracellular proteins"		"Protein kinase inhibitor"	"Evidence at protein level"	"Tissue enhanced"	16	"Plasma membrane, Cytosol"
TRIB2	"GS3955, TRB2"	ENSG00000071575	"Tribbles pseudokinase 2"	Q92519	"Enzymes, Predicted membrane proteins"		"Protein kinase inhibitor"	"Evidence at protein level"	"Low tissue specificity"	11	Nucleoplasm
TRIB3	"C20orf97, dJ1103G7.3, TRB3"	ENSG00000101255	"Tribbles pseudokinase 3"	Q96RU7	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Stress response, Transcription, Transcription regulation"	"Protein kinase inhibitor"	"Evidence at protein level"	"Tissue enhanced"	86	Nucleoplasm
TRIL	KIAA0644	ENSG00000255690	"TLR4 interactor with leucine rich repeats"	Q7L0X0	"Predicted membrane proteins"	"Immunity, Inflammatory response, Innate immunity"		"Evidence at protein level"	"Tissue enriched"	1	
TRIM11	"BIA1, RNF92"	ENSG00000154370	"Tripartite motif containing 11"	Q96F44	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Antiviral defense, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	19	"Nucleoplasm, Cytosol"
TRIM13	"DLEU5, Leu5, RFP2, RNF77"	ENSG00000204977	"Tripartite motif containing 13"	O60858	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	13	
TRIM14	KIAA0129	ENSG00000106785	"Tripartite motif containing 14"	Q14142	"Predicted intracellular proteins"	"Immunity, Innate immunity"		"Evidence at protein level"	"Low tissue specificity"	38	
TRIM16	EBBP	ENSG00000221926	"Tripartite motif containing 16"	O95361	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	10	Cytosol
TRIM2	"CMT2R, KIAA0517, RNF86"	ENSG00000109654	"Tripartite motif containing 2"	Q9C040	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	19	Centrosome
TRIM21	"RNF81, RO52, SSA1"	ENSG00000132109	"Tripartite motif containing 21"	P19474	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Host-virus interaction, Ubl conjugation pathway"	"DNA-binding, Ribonucleoprotein, RNA-binding, Transferase"	"Evidence at protein level"	"Low tissue specificity"	134	Nucleoplasm
TRIM22	"GPSTAF50, RNF94, STAF50"	ENSG00000132274	"Tripartite motif containing 22"	Q8IYM9	"Enzymes, Predicted intracellular proteins"	"Antiviral defense, Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway"	"Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	7	"Nucleoplasm, Nuclear bodies"
TRIM23	"ARD1, ARFD1, RNF46"	ENSG00000113595	"Tripartite motif containing 23"	P36406	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Host-virus interaction, Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	174	
TRIM24	"hTIF1, RNF82, TIF1, Tif1a"	ENSG00000122779	"Tripartite motif containing 24"	O15164	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation, Ubl conjugation pathway"	"DNA-binding, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	69	Nucleoplasm
TRIM25	"EFP, RNF147, ZNF147"	ENSG00000121060	"Tripartite motif containing 25"	Q14258	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Antiviral defense, Host-virus interaction, Immunity, Innate immunity, Ubl conjugation pathway"	"Ligase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	196	"Nucleoplasm, Cytosol"
TRIM26	"RNF95, ZNF173"	ENSG00000234127	"Tripartite motif containing 26"	Q12899	"Enzymes, Predicted intracellular proteins"	"Immunity, Innate immunity"	Transferase	"Evidence at protein level"	"Low tissue specificity"	30	"Nucleoplasm, Cytosol"
TRIM27	"RFP, RNF76"	ENSG00000204713	"Tripartite motif containing 27"	P14373	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation, Transport, Ubl conjugation pathway"	"DNA-binding, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	318	Nucleoli
TRIM28	"KAP-1, KAP1, PPP1R157, RNF96, TF1B, TIF1-beta, TIF1B, TIF1beta"	ENSG00000130726	"Tripartite motif containing 28"	Q13263	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation, Ubl conjugation pathway"	"Chromatin regulator, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	641	Nucleoplasm
TRIM29	"ATDC, FLJ36085"	ENSG00000137699	"Tripartite motif containing 29"	Q14134	"Predicted intracellular proteins"	"Immunity, Innate immunity"		"Evidence at protein level"	"Tissue enhanced"	45	"Intermediate filaments"
TRIM3	"BERP, HAC1, RNF22, RNF97"	ENSG00000110171	"Tripartite motif containing 3"	O75382	"Predicted intracellular proteins"	"Protein transport, Transport"	Transferase	"Evidence at protein level"	"Tissue enhanced"	30	Mitochondria
TRIM32	"BBS11, HT2A, LGMD2H, TATIP"	ENSG00000119401	"Tripartite motif containing 32"	Q13049	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	95	"Intermediate filaments"
TRIM33	"FLJ11429, KIAA1113, PTC7, RFG7, TF1G, TIF1G, TIF1GAMMA, TIFGAMMA"	ENSG00000197323	"Tripartite motif containing 33"	Q9UPN9	"Cancer-related genes, Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Transcription, Transcription regulation, Ubl conjugation pathway"	"DNA-binding, Repressor, Transferase"	"Evidence at protein level"	"Low tissue specificity"	65	Vesicles
TRIM35	"HLS5, KIAA1098, MAIR"	ENSG00000104228	"Tripartite motif containing 35"	Q9UPQ4	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	17	Nucleoplasm
TRIM37	"KIAA0898, MUL, POB1, TEF3"	ENSG00000108395	"Tripartite motif containing 37"	O94972	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Transcription, Ubl conjugation pathway"	"Repressor, Transferase"	"Evidence at protein level"	"Tissue enhanced"	86	
TRIM38	"RNF15, RORET"	ENSG00000112343	"Tripartite motif containing 38"	O00635	"Enzymes, Predicted intracellular proteins"	"Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	22	Centrosome
TRIM39	RNF23	ENSG00000204599	"Tripartite motif containing 39"	Q9HCM9	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Cell cycle, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	53	Cytosol
TRIM4	RNF87	ENSG00000146833	"Tripartite motif containing 4"	Q9C037	"Enzymes, Predicted intracellular proteins"	"Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	4	Cytosol
TRIM41	"MGC1127, RINCK"	ENSG00000146063	"Tripartite motif containing 41"	Q8WV44	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Group enriched"	135	"Nucleoli fibrillar center"
TRIM44	"DIPB, MC7"	ENSG00000166326	"Tripartite motif containing 44"	Q96DX7	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	14	Vesicles
TRIM45	"FLJ13181, RNF99"	ENSG00000134253	"Tripartite motif containing 45"	Q9H8W5	"Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	3	Cytosol
TRIM47	"GOA, RNF100"	ENSG00000132481	"Tripartite motif containing 47"	Q96LD4	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	11	Cytosol
TRIM5	"RNF88, TRIM5alpha"	ENSG00000132256	"Tripartite motif containing 5"	Q9C035	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Antiviral defense, Autophagy, Host-virus interaction, Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	17	Cytosol
TRIM50	"FLJ32804, TRIM50A"	ENSG00000146755	"Tripartite motif containing 50"	Q86XT4	"Enzymes, Human disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Group enriched"	46	Cytosol
